ID	site_name	stream_name	location_description	latitude	gauge_station_water_temperature	stream_type	Zone	cell_size [m²]	x_cell_no	y_cell_no
3	Niers_Driesdonck	Niers	"Pont, Haus Driesdonck"	51.5	Weeze	12	zmp	0.49	61	133
										
										
site_ID	site_name	x_coordinate	y_coordinate	x	y	Class_organic_substrate	Class_mineral_substrate	Class_velocity	Class_shadowing	Class_water_depth
27578	Niers_Driesdonck	437761.3367	5726493.308	0	0	0	0	-1	0	-1
27579	Niers_Driesdonck	437762.0367	5726493.308	1	0	0	0	-1	0	-1
27580	Niers_Driesdonck	437762.7367	5726493.308	2	0	0	0	-1	0	-1
27581	Niers_Driesdonck	437763.4367	5726493.308	3	0	0	0	-1	0	-1
27582	Niers_Driesdonck	437764.1367	5726493.308	4	0	0	0	-1	0	-1
27583	Niers_Driesdonck	437764.8367	5726493.308	5	0	0	0	-1	0	-1
27584	Niers_Driesdonck	437765.5367	5726493.308	6	0	0	0	-1	0	-1
27585	Niers_Driesdonck	437766.2367	5726493.308	7	0	0	0	-1	0	-1
27586	Niers_Driesdonck	437766.9367	5726493.308	8	0	0	0	-1	0	-1
27587	Niers_Driesdonck	437767.6367	5726493.308	9	0	0	0	-1	0	-1
27588	Niers_Driesdonck	437768.3367	5726493.308	10	0	0	0	-1	0	-1
27589	Niers_Driesdonck	437769.0367	5726493.308	11	0	0	0	-1	0	-1
27590	Niers_Driesdonck	437769.7367	5726493.308	12	0	0	0	-1	0	-1
27591	Niers_Driesdonck	437770.4367	5726493.308	13	0	0	0	-1	0	-1
27592	Niers_Driesdonck	437771.1367	5726493.308	14	0	0	0	-1	0	-1
27593	Niers_Driesdonck	437771.8367	5726493.308	15	0	0	0	-1	0	-1
27594	Niers_Driesdonck	437772.5367	5726493.308	16	0	0	0	-1	0	-1
27595	Niers_Driesdonck	437773.2367	5726493.308	17	0	0	0	-1	0	-1
27596	Niers_Driesdonck	437773.9367	5726493.308	18	0	0	0	-1	0	-1
27597	Niers_Driesdonck	437774.6367	5726493.308	19	0	0	0	-1	0	-1
27598	Niers_Driesdonck	437775.3367	5726493.308	20	0	0	0	-1	0	-1
27599	Niers_Driesdonck	437776.0367	5726493.308	21	0	0	0	-1	0	-1
27600	Niers_Driesdonck	437776.7367	5726493.308	22	0	0	0	-1	0	-1
27601	Niers_Driesdonck	437777.4367	5726493.308	23	0	0	0	-1	0	-1
27602	Niers_Driesdonck	437778.1367	5726493.308	24	0	0	0	-1	0	-1
27603	Niers_Driesdonck	437778.8367	5726493.308	25	0	0	0	-1	0	-1
27604	Niers_Driesdonck	437779.5367	5726493.308	26	0	0	0	-1	0	-1
27605	Niers_Driesdonck	437780.2367	5726493.308	27	0	0	0	-1	0	-1
27606	Niers_Driesdonck	437780.9367	5726493.308	28	0	0	0	-1	0	-1
27607	Niers_Driesdonck	437781.6367	5726493.308	29	0	0	0	-1	0	-1
27608	Niers_Driesdonck	437782.3367	5726493.308	30	0	0	0	-1	0	-1
27609	Niers_Driesdonck	437783.0367	5726493.308	31	0	0	0	-1	0	-1
27610	Niers_Driesdonck	437783.7367	5726493.308	32	0	0	0	-1	0	-1
27611	Niers_Driesdonck	437784.4367	5726493.308	33	0	0	0	-1	0	-1
27612	Niers_Driesdonck	437785.1367	5726493.308	34	0	0	0	-1	0	-1
27613	Niers_Driesdonck	437785.8367	5726493.308	35	0	0	0	-1	0	-1
27614	Niers_Driesdonck	437786.5367	5726493.308	36	0	0	0	-1	0	-1
27615	Niers_Driesdonck	437787.2367	5726493.308	37	0	0	0	-1	0	-1
27616	Niers_Driesdonck	437787.9367	5726493.308	38	0	0	0	-1	0	-1
27617	Niers_Driesdonck	437788.6367	5726493.308	39	0	0	0	-1	0	-1
27618	Niers_Driesdonck	437789.3367	5726493.308	40	0	0	7	3	4	6
27619	Niers_Driesdonck	437790.0367	5726493.308	41	0	0	7	3	4	6
27620	Niers_Driesdonck	437790.7367	5726493.308	42	0	0	8	4	4	6
27621	Niers_Driesdonck	437791.4367	5726493.308	43	0	0	8	4	4	6
27622	Niers_Driesdonck	437792.1367	5726493.308	44	0	0	8	4	4	6
27623	Niers_Driesdonck	437792.8367	5726493.308	45	0	0	8	4	4	6
27624	Niers_Driesdonck	437793.5367	5726493.308	46	0	0	8	4	4	6
27625	Niers_Driesdonck	437794.2367	5726493.308	47	0	0	8	4	4	6
27626	Niers_Driesdonck	437794.9367	5726493.308	48	0	0	8	4	4	6
27627	Niers_Driesdonck	437795.6367	5726493.308	49	0	0	8	4	4	6
27628	Niers_Driesdonck	437796.3367	5726493.308	50	0	0	8	4	4	6
27629	Niers_Driesdonck	437797.0367	5726493.308	51	0	0	8	4	4	6
27630	Niers_Driesdonck	437797.7367	5726493.308	52	0	0	5	4	4	8
27631	Niers_Driesdonck	437798.4367	5726493.308	53	0	0	5	4	4	8
27632	Niers_Driesdonck	437799.1367	5726493.308	54	0	0	4	3	4	9
27633	Niers_Driesdonck	437799.8367	5726493.308	55	0	0	8	2	4	5
27634	Niers_Driesdonck	437800.5367	5726493.308	56	0	0	0	-1	0	-1
27635	Niers_Driesdonck	437801.2367	5726493.308	57	0	0	0	-1	0	-1
27636	Niers_Driesdonck	437801.9367	5726493.308	58	0	0	0	-1	0	-1
27637	Niers_Driesdonck	437802.6367	5726493.308	59	0	0	0	-1	0	-1
27638	Niers_Driesdonck	437803.3367	5726493.308	60	0	0	0	-1	0	-1
27639	Niers_Driesdonck	437761.3367	5726492.608	0	1	0	0	-1	0	-1
27640	Niers_Driesdonck	437762.0367	5726492.608	1	1	0	0	-1	0	-1
27641	Niers_Driesdonck	437762.7367	5726492.608	2	1	0	0	-1	0	-1
27642	Niers_Driesdonck	437763.4367	5726492.608	3	1	0	0	-1	0	-1
27643	Niers_Driesdonck	437764.1367	5726492.608	4	1	0	0	-1	0	-1
27644	Niers_Driesdonck	437764.8367	5726492.608	5	1	0	0	-1	0	-1
27645	Niers_Driesdonck	437765.5367	5726492.608	6	1	0	0	-1	0	-1
27646	Niers_Driesdonck	437766.2367	5726492.608	7	1	0	0	-1	0	-1
27647	Niers_Driesdonck	437766.9367	5726492.608	8	1	0	0	-1	0	-1
27648	Niers_Driesdonck	437767.6367	5726492.608	9	1	0	0	-1	0	-1
27649	Niers_Driesdonck	437768.3367	5726492.608	10	1	0	0	-1	0	-1
27650	Niers_Driesdonck	437769.0367	5726492.608	11	1	0	0	-1	0	-1
27651	Niers_Driesdonck	437769.7367	5726492.608	12	1	0	0	-1	0	-1
27652	Niers_Driesdonck	437770.4367	5726492.608	13	1	0	0	-1	0	-1
27653	Niers_Driesdonck	437771.1367	5726492.608	14	1	0	0	-1	0	-1
27654	Niers_Driesdonck	437771.8367	5726492.608	15	1	0	0	-1	0	-1
27655	Niers_Driesdonck	437772.5367	5726492.608	16	1	0	0	-1	0	-1
27656	Niers_Driesdonck	437773.2367	5726492.608	17	1	0	0	-1	0	-1
27657	Niers_Driesdonck	437773.9367	5726492.608	18	1	0	0	-1	0	-1
27658	Niers_Driesdonck	437774.6367	5726492.608	19	1	0	0	-1	0	-1
27659	Niers_Driesdonck	437775.3367	5726492.608	20	1	0	0	-1	0	-1
27660	Niers_Driesdonck	437776.0367	5726492.608	21	1	0	0	-1	0	-1
27661	Niers_Driesdonck	437776.7367	5726492.608	22	1	0	0	-1	0	-1
27662	Niers_Driesdonck	437777.4367	5726492.608	23	1	0	0	-1	0	-1
27663	Niers_Driesdonck	437778.1367	5726492.608	24	1	0	0	-1	0	-1
27664	Niers_Driesdonck	437778.8367	5726492.608	25	1	0	0	-1	0	-1
27665	Niers_Driesdonck	437779.5367	5726492.608	26	1	0	0	-1	0	-1
27666	Niers_Driesdonck	437780.2367	5726492.608	27	1	0	0	-1	0	-1
27667	Niers_Driesdonck	437780.9367	5726492.608	28	1	0	0	-1	0	-1
